Event ID	Station	Type	Date	Exact Start Time	Exact End Time	Window Start Time (-15 min)	Window End Time (+ 15 min)	Window Start Date/Time (Local)	Window End Date/Time (Local)	Window Start Date/Time (UTC)	Window End Date/Time (UTC)	Survey	Sighting	IDs	Notes
VS_1	PSB	V_Sighting	1/10/2018	11:59:00 AM	12:19:00 PM	11:44:00 AM	12:34:00 PM	1/10/2018 11:44	1/10/2018 12:34	1/10/2018 15:44	1/10/2018 16:34	8462	2	F159, F265, F135, F283, F113, F273, F137, 1373, 1374	
VS_2	PSB	V_Sighting	1/10/2018	1:30:00 PM	1:36:00 PM	1:15:00 PM	1:51:00 PM	1/10/2018 13:15	1/10/2018 13:51	1/10/2018 17:15	1/10/2018 17:51	8462	3	F298	
VS_3	PSB	V_Sighting	2/6/2018	12:12:00 PM	12:23:00 PM	11:57:00 AM	12:38:00 PM	2/6/2018 11:57	2/6/2018 12:38	2/6/2018 15:57	2/6/2018 16:38	8480	46	F298	
VS_4	PSB	V_Sighting	3/9/2018	2:44:00 PM	4:54:00 PM	2:29:00 PM	5:09:00 PM	3/9/2018 14:29	3/9/2018 17:09	3/9/2018 18:29	3/9/2018 21:09	8489	63	F215, 2153, F243, 1373	
VS_5	PSB	V_Sighting	3/26/2018	2:00:00 PM	2:07:00 PM	1:45:00 PM	2:22:00 PM	3/26/2018 13:45	3/26/2018 14:22	3/26/2018 17:45	3/26/2018 18:22	8501	63	F243	
VS_6	PSB	V_Sighting	3/31/2018	10:18:00 AM	12:32:00 PM	10:03:00 AM	12:47:00 PM	3/31/2018 10:03	3/31/2018 12:47	3/31/2018 14:03	3/31/2018 16:47	8502	61	F137, 1374, F133, F222, F197, F291, F243, ORNG	
VS_7	PSB	V_Sighting	4/2/2018	12:41:00 PM	1:08:00 PM	12:26:00 PM	1:23:00 PM	4/2/2018 12:26	4/2/2018 13:23	4/2/2018 16:26	4/2/2018 17:23	8505	45	F222, F196, F268, F197, 1373, 1374, F137, F291	
VS_8	PSB	V_Sighting	4/3/2018	11:16:00 AM	11:44:00 AM	11:01:00 AM	11:59:00 AM	4/3/2018 11:01	4/3/2018 11:59	4/3/2018 15:01	4/3/2018 15:59	8507	23	F274, F215, 2153, F197, F291, F243	
VS_9	PSB	V_Sighting	4/4/2018	1:51:00 PM	1:59:00 PM	1:36:00 PM	2:14:00 PM	4/4/2018 13:36	4/4/2018 14:14	4/4/2018 17:36	4/4/2018 18:14	8510	33	F197, F291	
VS_10	PSB	V_Sighting	4/6/2018	10:57:00 AM	11:47:00 AM	10:42:00 AM	12:02:00 PM	4/6/2018 10:42	4/6/2018 12:02	4/6/2018 14:42	4/6/2018 16:02	8512	62	F197, F291, F296, F261, 2614	
VS_11	PSB	V_Sighting	4/6/2018	12:49:00 PM	3:01:00 PM	12:34:00 PM	3:16:00 PM	4/6/2018 12:34	4/6/2018 15:16	4/6/2018 16:34	4/6/2018 19:16	8512	64	F197, F137, F146, F243, 1373, 1374, F209, F225, 2255, 2092, F291	
VS_12	PSB	V_Sighting	4/17/2018	11:23:00 AM	11:44:00 AM	11:08:00 AM	11:59:00 AM	4/17/2018 11:08	4/17/2018 11:59	4/17/2018 15:08	4/17/2018 15:59	8516	62	F274, C912	
VS_13	PSB	V_Sighting	4/18/2018	11:49:00 AM	11:53:00 AM	11:34:00 AM	12:08:00 PM	4/18/2018 11:34	4/18/2018 12:08	4/18/2018 15:34	4/18/2018 16:08	8517	4	1373	
VS_14	PSB	V_Sighting	4/18/2018	2:54:00 PM	3:10:00 PM	2:39:00 PM	3:25:00 PM	4/18/2018 14:39	4/18/2018 15:25	4/18/2018 18:39	4/18/2018 19:25	8518	66	F235, F197, F243, F291, F227, 2272, F290, 1373	
VS_15	PSB	V_Sighting	4/19/2018	12:10:00 PM	12:57:00 PM	11:55:00 AM	1:12:00 PM	4/19/2018 11:55	4/19/2018 13:12	4/19/2018 15:55	4/19/2018 17:12	8519	62	F243, F197, F291, 1373	
VS_16	PSB	V_Sighting	4/19/2018	12:57:00 PM	2:03:00 PM	12:42:00 PM	2:18:00 PM	4/19/2018 12:42	4/19/2018 14:18	4/19/2018 16:42	4/19/2018 18:18	8519	63	F197, F291, F243, 1373, F151, F267	
VS_17	PSB	V_Sighting	4/19/2018	2:03:00 PM	2:31:00 PM	1:48:00 PM	2:46:00 PM	4/19/2018 13:48	4/19/2018 14:46	4/19/2018 17:48	4/19/2018 18:46	8519	64	F197, F291, F243, 1373, 2151	
VS_18	PSB	V_Sighting	4/22/2018	11:40:00 AM	12:34:00 PM	11:25:00 AM	12:49:00 PM	4/22/2018 11:25	4/22/2018 12:49	4/22/2018 15:25	4/22/2018 16:49	8520	61	F250, F197, F282, F243, F274, F291, F272	
VS_19	PSB	V_Sighting	4/22/2018	12:34:00 PM	1:54:00 PM	12:19:00 PM	2:09:00 PM	4/22/2018 12:19	4/22/2018 14:09	4/22/2018 16:19	4/22/2018 18:09	8520	62	F250, F282, F197, F291, F243, F272, F274, F228, F146, F149, F178, F188, F137, 1374, FB11, C115	
VS_20	PSB	V_Sighting	4/25/2018	12:21:00 PM	1:09:00 PM	12:06:00 PM	1:24:00 PM	4/25/2018 12:06	4/25/2018 13:24	4/25/2018 16:06	4/25/2018 17:24	8521	62	F222, F243, F197, F291, F215, 2153, 1373	
VS_21	PSB	V_Sighting	4/28/2018	10:47:00 AM	11:45:00 AM	10:32:00 AM	12:00:00 PM	4/28/2018 10:32	4/28/2018 12:00	4/28/2018 14:32	4/28/2018 16:00	8522	62	F225, 2255, C912, F249, F272	
VS_22	PSB	V_Sighting	4/28/2018	12:22:00 PM	12:25:00 PM	12:07:00 PM	12:40:00 PM	4/28/2018 12:07	4/28/2018 12:40	4/28/2018 16:07	4/28/2018 16:40	8522	64	F197, F291	
VS_23	PSB	V_Sighting	4/28/2018	12:28:00 PM	1:45:00 PM	12:13:00 PM	2:00:00 PM	4/28/2018 12:13	4/28/2018 14:00	4/28/2018 16:13	4/28/2018 18:00	8522	65	F243, 1373	
VS_24	PSB	V_Sighting	5/7/2018	10:57:00 AM	11:10:00 AM	10:42:00 AM	11:25:00 AM	5/7/2018 10:42	5/7/2018 11:25	5/7/2018 14:42	5/7/2018 15:25	8526	27	F138, F197, F291	
VS_25	PSB	V_Sighting	5/10/2018	12:38:00 PM	12:41:00 PM	12:23:00 PM	12:56:00 PM	5/10/2018 12:23	5/10/2018 12:56	5/10/2018 16:23	5/10/2018 16:56	8531	9	F215, 2153, F272, 1373, F274, F243	
